SKU,Category,Style,Size,Amount,Core,price_level
JNE3510-KR-XXL,kurta,JNE3510,XXL,471.0,KR,Medium
PJNE3373-KR-N-6XL,kurta,PJNE3373,6XL,836.0,KR-N,Premium
JNE3371-KR-S,kurta,JNE3371,S,353.0,KR,low
BL006-54BLACK,Blouse,BL006,Free,388.0,null,low
NW012-TP-PJ-XL,Set,NW012,XL,537.0,TP-PJ,Medium
JNE3363-KR-1032-XXXL,kurta,JNE3363,3XL,399.0,KR-1032,low
NW034-TP-PJ-XXL,Set,NW034,XXL,613.0,TP-PJ,High
SET331-KR-NP-XXL,Set,SET331,XXL,641.0,KR-NP,High
SET374-KR-NP-XS,Set,SET374,XS,666.0,KR-NP,High
SET402-KR-NP-L,Set,SET402,L,988.0,KR-NP,Premium
J0006-SET-XXXL,Ethnic Dress,J0006,3XL,899.0,SET,Premium
J0118-TP-XXL,Top,J0118,XXL,529.0,TP,Medium
SET073-KR-SHA-M,Set,SET073,M,824.0,KR-SHA,Premium
JNE3518-KR-L,kurta,JNE3518,L,487.0,KR,Medium
J0097-KR-XS,kurta,J0097,XS,568.0,KR,Medium
J0111-TP-XXL,Top,J0111,XXL,423.0,TP,low
SET265-KR-NP-L,Set,SET265,L,889.0,KR-NP,Premium
J0344-TP-S,Top,J0344,S,574.0,TP,Medium
JNE3690-TU-L,Top,JNE3690,L,545.0,TU,Medium
NW037-TP-SR-XL,Set,NW037,XL,450.0,TP-SR,low
SET116-KR-NP-XXL,Set,SET116,XXL,591.0,KR-NP,Medium
JNE3461-KR-XL,kurta,JNE3461,XL,399.0,KR,low
JNE3368-KR-S,kurta,JNE3368,S,471.0,KR,Medium
JNE3160-KR-G-XXL,kurta,JNE3160,XXL,749.0,KR-G,High
JNE3739-KR-L,kurta,JNE3739,L,459.0,KR,Medium
SET408-KR-NP-XL,Set,SET408,XL,499.0,KR-NP,Medium
JNE3736-KR-XXL,kurta,JNE3736,XXL,399.0,KR,low
J0041-SET-M,Set,J0041,M,631.0,SET,High
J0413-DR-XS,Western Dress,J0413,XS,741.0,DR,High
SET396-KR-PP-M,Set,SET396,M,988.0,KR-PP,Premium
SET398-KR-PP-M,Set,SET398,M,1186.0,KR-PP,Luxury
SET344-KR-NP-L,Set,SET344,L,899.0,KR-NP,Premium
SET278-KR-NP-M,Set,SET278,M,1523.0,KR-NP,Luxury
JNE3518-KR-L,kurta,JNE3518,L,487.0,KR,Medium
JNE3633-KR-M,kurta,JNE3633,M,459.0,KR,Medium
JNE3468-KR-XS,kurta,JNE3468,XS,399.0,KR,low
J0009-SKD-L,Set,J0009,L,854.0,SKD,Premium
JNE3252-KR-S,kurta,JNE3252,S,479.0,KR,Medium
JNE3618-KR-L,kurta,JNE3618,L,399.0,KR,low
SET348-KR-NP-L,Set,SET348,L,899.0,KR-NP,Premium
J0277-SKD-M,Set,J0277,M,1364.0,SKD,Luxury
J0217-BL-L,Blouse,J0217,L,665.0,BL,High
J0336-TP-XL,Top,J0336,XL,665.0,TP,High
JNE3721-KR-XXL,kurta,JNE3721,XXL,301.0,KR,low
JNE3368-KR-XXL,kurta,JNE3368,XXL,471.0,KR,Medium
JNE3566-KR-L,kurta,JNE3566,L,368.0,KR,low
J0119-TP-XXXL,Top,J0119,3XL,574.0,TP,Medium
SET397-KR-NP-S,Set,SET397,S,999.0,KR-NP,Premium
J0008-SKD-M,Set,J0008,M,1133.0,SKD,Premium
JNE3437-KR-XL,kurta,JNE3437,XL,517.0,KR,Medium
JNE3405-KR-S,kurta,JNE3405,S,435.0,KR,low
SET158-KR-PP-M,Set,SET158,M,791.0,KR-PP,Premium
JNE3399-KR-S,kurta,JNE3399,S,469.0,KR,Medium
JNE3634-KR-XXL,kurta,JNE3634,XXL,544.0,KR,Medium
JNE3707-DR-XS,Western Dress,JNE3707,XS,475.0,DR,Medium
SET239-KR-NP-S,Set,SET239,S,693.0,KR-NP,High
J0129-SET-XS,Set,J0129,XS,729.0,SET,High
JNE3368-KR-M,kurta,JNE3368,M,471.0,KR,Medium
JNE3707-DR-XXL,Western Dress,JNE3707,XXL,475.0,DR,Medium
J0013-SKD-L,Set,J0013,L,1072.0,SKD,Premium
JNE2014-KR-178-XL,kurta,JNE2014,XL,359.0,KR-178,low
JNE3680-TU-XXL,Top,JNE3680,XXL,574.0,TU,Medium
SET324-KR-NP-XS,Set,SET324,XS,635.0,KR-NP,High
JNE1998-KR-311-XL,kurta,JNE1998,XL,301.0,KR-311,low
SET339-KR-NP-XXL,Set,SET339,XXL,736.0,KR-NP,High
SET197-KR-NP-S,Set,SET197,S,759.0,KR-NP,High
SET197-KR-NP-XXXL,Set,SET197,3XL,759.0,KR-NP,High
J0375-SKD-XXXL,Set,J0375,3XL,999.0,SKD,Premium
SET290-KR-DPT-XXXL,Set,SET290,3XL,832.0,KR-DPT,Premium
JNE3560-KR-XL,kurta,JNE3560,XL,544.0,KR,Medium
SET044-KR-NP-XXXL,Set,SET044,3XL,612.0,KR-NP,High
J0340-TP-M,Top,J0340,M,690.0,TP,High
J0041-SET-M,Set,J0041,M,631.0,SET,High
J0349-SET-L,Set,J0349,L,888.0,SET,Premium
J0308-DR-XXL,Western Dress,J0308,XXL,665.0,DR,High
SET128-KR-DH-M,Set,SET128,M,985.0,KR-DH,Premium
JNE3778-KR-L,kurta,JNE3778,L,459.0,KR,Medium
J0418-TP-XS,Top,J0418,XS,749.0,TP,High
SET240-KR-PP-XS,Set,SET240,XS,579.0,KR-PP,Medium
SET339-KR-NP-XL,Set,SET339,XL,736.0,KR-NP,High
SET110-KR-PP-M,Set,SET110,M,837.0,KR-PP,Premium
JNE2205-KR-467-A-M,kurta,JNE2205,M,356.0,KR-467-A,low
J0280-SKD-XS,Set,J0280,XS,1556.0,SKD,Luxury
J0300-TP-XXL,Top,J0300,XXL,301.0,TP,low
JNE3769-KR-M,kurta,JNE3769,M,487.0,KR,Medium
SET331-KR-NP-S,Set,SET331,S,641.0,KR-NP,High
JNE2014-KR-178-XL,kurta,JNE2014,XL,359.0,KR-178,low
J0414-DR-XXXL,Western Dress,J0414,3XL,885.0,DR,Premium
J0343-DR-M,Western Dress,J0343,M,885.0,DR,Premium
NW029-ST-SR-S,Set,NW029,S,455.0,ST-SR,low
JNE3403-KR-XS,kurta,JNE3403,XS,399.0,KR,low
JNE3399-KR-M,kurta,JNE3399,M,469.0,KR,Medium
SET397-KR-NP  -M,Set,SET397,M,999.0,KR-NP  ,Premium
SET344-KR-NP-XXL,Set,SET344,XXL,899.0,KR-NP,Premium
SET376-KR-NP-XL,Set,SET376,XL,560.0,KR-NP,Medium
NW030-TP-PJ-XL,Set,NW030,XL,582.0,TP-PJ,Medium
J0339-DR-XL,Western Dress,J0339,XL,825.0,DR,Premium
J0401-DR-XXL,Western Dress,J0401,XXL,885.0,DR,Premium
J0381-SKD-L,Set,J0381,L,1299.0,SKD,Luxury
PJNE2270-KR-N-4XL,kurta,PJNE2270,4XL,1099.0,KR-N,Premium
JNE3769-KR-XXXL,kurta,JNE3769,3XL,487.0,KR,Medium
JNE3766-KR-XXXL,kurta,JNE3766,3XL,517.0,KR,Medium
JNE3506-KR-XXXL,kurta,JNE3506,3XL,635.0,KR,High
J0003-SET-XXL,Set,J0003,XXL,696.0,SET,High
JNE3567-KR-XL,kurta,JNE3567,XL,399.0,KR,low
SET293-KR-NP-M,Set,SET293,M,736.0,KR-NP,High
PJNE3399-KR-N-6XL,kurta,PJNE3399,6XL,798.0,KR-N,Premium
MEN5004-KR-XXXL,kurta,MEN5004,3XL,709.0,KR,High
MEN5002-KR-XXXL,kurta,MEN5002,3XL,709.0,KR,High
NW030-TP-PJ-M,Set,NW030,M,582.0,TP-PJ,Medium
JNE3764-KR-XXL,kurta,JNE3764,XXL,399.0,KR,low
JNE3334-KR-XXL,kurta,JNE3334,XXL,318.0,KR,low
SET375-KR-NP-L,Set,SET375,L,696.0,KR-NP,High
J0157-DR-XS,Western Dress,J0157,XS,690.0,DR,High
JNE3366-KR-1053-M,kurta,JNE3366,M,382.0,KR-1053,low
J0181-TP-M,Top,J0181,M,399.0,TP,low
MEN5009-KR-M,kurta,MEN5009,M,709.0,KR,High
SET322-KR-SHA-XL,Set,SET322,XL,1099.0,KR-SHA,Premium
SET264-KR-NP-M,Set,SET264,M,824.0,KR-NP,Premium
JNE3405-KR-S,kurta,JNE3405,S,435.0,KR,low
SET295-KR-NP-XXL,Set,SET295,XXL,799.0,KR-NP,Premium
SET293-KR-NP-XXL,Set,SET293,XXL,736.0,KR-NP,High
SET360-KR-NP-XXL,Set,SET360,XXL,1338.0,KR-NP,Luxury
JNE3567-KR-M,kurta,JNE3567,M,399.0,KR,low
JNE3659-TP-N-XXL,Top,JNE3659,XXL,493.0,TP-N,Medium
JNE3614-KR-XXL,kurta,JNE3614,XXL,459.0,KR,Medium
J0011-LCD-XXXL,Set,J0011,3XL,1695.0,LCD,Luxury
SET269-KR-NP-XL,Set,SET269,XL,824.0,KR-NP,Premium
NW020-ST-SR-XS,Set,NW020,XS,517.0,ST-SR,Medium
SET264-KR-NP-M,Set,SET264,M,824.0,KR-NP,Premium
JNE3440-KR-N-S,kurta,JNE3440,S,435.0,KR-N,low
JNE3837-KR-XXL,kurta,JNE3837,XXL,533.0,KR,Medium
SET356-KR-NP-L,Set,SET356,L,999.0,KR-NP,Premium
J0095-SET-M,Set,J0095,M,653.0,SET,High
BL035-161GOLD,Blouse,BL035,Free,377.0,null,low
JNE3368-KR-XL,kurta,JNE3368,XL,471.0,KR,Medium
JNE3680-TU-XL,Top,JNE3680,XL,574.0,TU,Medium
J0023-TP-XXXL,Top,J0023,3XL,387.0,TP,low
SET183-KR-DH-S,Set,SET183,S,759.0,KR-DH,High
SET335-KR-NP-XS,Set,SET335,XS,771.0,KR-NP,High
J0095-SET-XL,Set,J0095,XL,653.0,SET,High
JNE3291-KR-XL,kurta,JNE3291,XL,499.0,KR,Medium
SET352-KR-NP-L,Set,SET352,L,486.0,KR-NP,Medium
JNE3618-KR-XXL,kurta,JNE3618,XXL,399.0,KR,low
SET397-KR-NP  -M,Set,SET397,M,999.0,KR-NP  ,Premium
J0196-TP-S,Top,J0196,S,446.0,TP,low
JNE3458-KR-M,kurta,JNE3458,M,380.0,KR,low
SET058-KR-NP-XL,Set,SET058,XL,847.0,KR-NP,Premium
JNE3399-KR-XL,kurta,JNE3399,XL,469.0,KR,Medium
J0112-TP-XXL,Top,J0112,XXL,349.0,TP,low
JNE2153-KR-278-A-XL,kurta,JNE2153,XL,443.0,KR-278-A,low
PJNE3399-KR-N-6XL,kurta,PJNE3399,6XL,798.0,KR-N,Premium
SET128-KR-DH-M,Set,SET128,M,985.0,KR-DH,Premium
J0006-SET-S,Ethnic Dress,J0006,S,899.0,SET,Premium
J0348-SET-L,Set,J0348,L,478.0,SET,Medium
BL110-L,Blouse,BL110,L,333.0,null,low
JNE3313-KR-A-XXXL,kurta,JNE3313,3XL,582.0,KR-A,Medium
SET302-KR-PP-XXL,Set,SET302,XXL,799.0,KR-PP,Premium
J0118-TP-XL,Top,J0118,XL,529.0,TP,Medium
SET293-KR-NP-S,Set,SET293,S,736.0,KR-NP,High
JNE3659-TP-N-XXL,Top,JNE3659,XXL,493.0,TP-N,Medium
JNE3030-KR-M,kurta,JNE3030,M,736.0,KR,High
J0097-KR-XS,kurta,J0097,XS,568.0,KR,Medium
PJNE3373-KR-N-6XL,kurta,PJNE3373,6XL,836.0,KR-N,Premium
PJNE2100-KR-N-6XL,kurta,PJNE2100,6XL,764.0,KR-N,High
SET278-KR-NP-S,Set,SET278,S,1523.0,KR-NP,Luxury
SET264-KR-NP-M,Set,SET264,M,824.0,KR-NP,Premium
JNE3718-KR-XXXL,kurta,JNE3718,3XL,487.0,KR,Medium
MEN5004-KR-XXXL,kurta,MEN5004,3XL,709.0,KR,High
SAR036,Saree,SAR036,Free,737.0,null,High
J0341-DR-XL,Western Dress,J0341,XL,885.0,DR,Premium
JNE3795-KR-S,kurta,JNE3795,S,529.0,KR,Medium
JNE3546-KR-S,kurta,JNE3546,S,487.0,KR,Medium
J0413-DR-L,Western Dress,J0413,L,741.0,DR,High
SET408-KR-NP-XL,Set,SET408,XL,499.0,KR-NP,Medium
SET374-KR-NP-M,Set,SET374,M,666.0,KR-NP,High
J0382-SKD-M,Set,J0382,M,1338.0,SKD,Luxury
SET290-KR-DPT-M,Set,SET290,M,832.0,KR-DPT,Premium
JNE3567-KR-L,kurta,JNE3567,L,399.0,KR,low
SET264-KR-NP-XS,Set,SET264,XS,824.0,KR-NP,Premium
SET397-KR-NP-XS,Set,SET397,XS,999.0,KR-NP,Premium
JNE3405-KR-S,kurta,JNE3405,S,435.0,KR,low
MEN5023-KR-XL,kurta,MEN5023,XL,777.0,KR,High
J0003-SET-XXL,Set,J0003,XXL,696.0,SET,High
JNE3510-KR-L,kurta,JNE3510,L,471.0,KR,Medium
JNE1977-KR-237-L,kurta,JNE1977,L,301.0,KR-237,low
SET339-KR-NP-L,Set,SET339,L,736.0,KR-NP,High
SET304-KR-DPT-XXL,Set,SET304,XXL,1186.0,KR-DPT,Luxury
SET355-KR-PP-XXL,Set,SET355,XXL,1229.0,KR-PP,Luxury
J0147-SET-XL,Set,J0147,XL,583.0,SET,Medium
JNE3613-KR-XXL,kurta,JNE3613,XXL,405.0,KR,low
MEN5024-KR-M,kurta,MEN5024,M,665.0,KR,High
J0092-SET-XL,Set,J0092,XL,833.0,SET,Premium
J0004-SKD-L,Set,J0004,L,1186.0,SKD,Luxury
J0003-SET-XS,Set,J0003,XS,696.0,SET,High
SET308-KR-PP-XXXL,Set,SET308,3XL,696.0,KR-PP,High
JNE3510-KR-L,kurta,JNE3510,L,471.0,KR,Medium
SET339-KR-NP-XXL,Set,SET339,XXL,736.0,KR-NP,High
SET278-KR-NP-S,Set,SET278,S,1523.0,KR-NP,Luxury
J0348-SET-S,Set,J0348,S,478.0,SET,Medium
J0085-TP-XL,Top,J0085,XL,346.0,TP,low
JNE3440-KR-N-XS,kurta,JNE3440,XS,435.0,KR-N,low
JNE3861-DR-XXXL,Western Dress,JNE3861,3XL,791.0,DR,Premium
J0003-SET-XXL,Set,J0003,XXL,696.0,SET,High
SET278-KR-NP-S,Set,SET278,S,1523.0,KR-NP,Luxury
SET286-KR-NP-XS,Set,SET286,XS,666.0,KR-NP,High
JNE3484-KR-L,kurta,JNE3484,L,301.0,KR,low
JNE3652-TP-N-XXL,Top,JNE3652,XXL,338.0,TP-N,low
MEN5004-KR-XXXL,kurta,MEN5004,3XL,709.0,KR,High
J0119-TP-XXXL,Top,J0119,3XL,574.0,TP,Medium
J0343-DR-L,Western Dress,J0343,L,885.0,DR,Premium
JNE3578-KR-S,kurta,JNE3578,S,612.0,KR,High
J0004-SKD-L,Set,J0004,L,1186.0,SKD,Luxury
SET200-KR-NP-A-XXXL,Set,SET200,3XL,543.0,KR-NP-A,Medium
SET182-KR-DH-XS,Set,SET182,XS,699.0,KR-DH,High
JNE3861-DR-XS,Western Dress,JNE3861,XS,791.0,DR,Premium
MEN5021-KR-XXL,kurta,MEN5021,XXL,777.0,KR,High
JNE3744-TU-S,Top,JNE3744,S,690.0,TU,High
JNE3560-KR-S,kurta,JNE3560,S,544.0,KR,Medium
PJNE3399-KR-N-6XL,kurta,PJNE3399,6XL,798.0,KR-N,Premium
MEN5004-KR-XXXL,kurta,MEN5004,3XL,709.0,KR,High
SET398-KR-PP-XXL,Set,SET398,XXL,1186.0,KR-PP,Luxury
SET302-KR-PP-XXL,Set,SET302,XXL,799.0,KR-PP,Premium
JNE3638-KR-S,kurta,JNE3638,S,517.0,KR,Medium
JNE2305-KR-533-M,kurta,JNE2305,M,382.0,KR-533,low
SET402-KR-NP-L,Set,SET402,L,988.0,KR-NP,Premium
SET310-KR-NP-L,Set,SET310,L,999.0,KR-NP,Premium
SET374-KR-NP-XL,Set,SET374,XL,666.0,KR-NP,High
J0009-SKD-L,Set,J0009,L,854.0,SKD,Premium
J0280-SKD-S,Set,J0280,S,1556.0,SKD,Luxury
JNE3738-KR-XXL,kurta,JNE3738,XXL,383.0,KR,low
SET396-KR-PP-M,Set,SET396,M,988.0,KR-PP,Premium
SET344-KR-NP-M,Set,SET344,M,899.0,KR-NP,Premium
MEN5029-KR-M,kurta,MEN5029,M,625.0,KR,High
NW028-TP-PJ-XXL,Set,NW028,XXL,539.0,TP-PJ,Medium
J0023-TP-S,Top,J0023,S,387.0,TP,low
J0346-SET-XS,Set,J0346,XS,478.0,SET,Medium
SET239-KR-NP-XS,Set,SET239,XS,693.0,KR-NP,High
JNE3252-KR-XXXL,kurta,JNE3252,3XL,479.0,KR,Medium
JNE3405-KR-S,kurta,JNE3405,S,435.0,KR,low
J0236-SKD-L,Set,J0236,L,949.0,SKD,Premium
SET339-KR-NP-M,Set,SET339,M,736.0,KR-NP,High
J0385-KR-XL,kurta,J0385,XL,888.0,KR,Premium
JNE3545-KR-S,kurta,JNE3545,S,338.0,KR,low
JNE3690-TU-XXL,Top,JNE3690,XXL,545.0,TU,Medium
SET196-KR-NP-XXXL,Set,SET196,3XL,668.0,KR-NP,High
JNE3613-KR-L,kurta,JNE3613,L,405.0,KR,low
J0413-DR-S,Western Dress,J0413,S,741.0,DR,High
SET268-KR-NP-M,Set,SET268,M,788.0,KR-NP,High
J0306-DR-M,Western Dress,J0306,M,791.0,DR,Premium
J0006-SET-M,Ethnic Dress,J0006,M,899.0,SET,Premium
J0010-LCD-M,Set,J0010,M,999.0,LCD,Premium
J0247-SKD-S,Set,J0247,S,777.0,SKD,High
JNE3721-KR-XL,kurta,JNE3721,XL,301.0,KR,low
JNE3734-KR-XL,kurta,JNE3734,XL,431.0,KR,low
JNE3790-KR-XS,kurta,JNE3790,XS,307.0,KR,low
JNE3753-KR-S,kurta,JNE3753,S,475.0,KR,Medium
SET051-KR-NP-XXXL,Set,SET051,3XL,473.0,KR-NP,Medium
JNE3633-KR-XXXL,kurta,JNE3633,3XL,459.0,KR,Medium
JNE3489-KR-XXL,kurta,JNE3489,XXL,487.0,KR,Medium
J0011-LCD-XXL,Set,J0011,XXL,1695.0,LCD,Luxury
JNE3709-DR-M,Western Dress,JNE3709,M,792.0,DR,Premium
JNE3861-DR-L,Western Dress,JNE3861,L,791.0,DR,Premium
JNE3405-KR-S,kurta,JNE3405,S,435.0,KR,low
JNE3313-KR-A-XXXL,kurta,JNE3313,3XL,582.0,KR-A,Medium
SET058-KR-NP-XXL,Set,SET058,XXL,847.0,KR-NP,Premium
MEN5011-KR-M,kurta,MEN5011,M,709.0,KR,High
J0230-SKD-XL,Set,J0230,XL,1349.0,SKD,Luxury
JNE3487-KR-XL,kurta,JNE3487,XL,345.0,KR,low
PJNE2171-KR-N-6XL,kurta,PJNE2171,6XL,1099.0,KR-N,Premium
SET397-KR-NP  -M,Set,SET397,M,999.0,KR-NP  ,Premium
SET044-KR-NP-XL,Set,SET044,XL,612.0,KR-NP,High
JNE3487-KR-XXXL,kurta,JNE3487,3XL,345.0,KR,low
JNE09186-BLUE-SR-JP7104RMV-N,Saree,JNE09186,Free,899.0,BLUE-SR-JP7104RMV,Premium
SAR101,Saree,SAR101,Free,616.0,null,High
SET277-KR-NP-XL,Set,SET277,XL,1338.0,KR-NP,Luxury
J0395-DR-XL,Western Dress,J0395,XL,859.0,DR,Premium
SET308-KR-PP-S,Set,SET308,S,696.0,KR-PP,High
MEN5024-KR-XXL,kurta,MEN5024,XXL,665.0,KR,High
SET110-KR-PP-S,Set,SET110,S,837.0,KR-PP,Premium
JNE1998-KR-311-XL,kurta,JNE1998,XL,301.0,KR-311,low
SET346-KR-PP-XXXL,Set,SET346,3XL,774.0,KR-PP,High
SET397-KR-NP  -M,Set,SET397,M,999.0,KR-NP  ,Premium
PJNE3399-KR-N-5XL,kurta,PJNE3399,5XL,798.0,KR-N,Premium
NW013-ST-SR-M,Set,NW013,M,475.0,ST-SR,Medium
JNE3291-KR-XXL,kurta,JNE3291,XXL,499.0,KR,Medium
SET383-KR-NP-XXL,Set,SET383,XXL,599.0,KR-NP,Medium
NW004-TP-PJ-XS,Set,NW004,XS,475.0,TP-PJ,Medium
SET359-KR-NP-XXXL,Set,SET359,3XL,899.0,KR-NP,Premium
SET348-KR-NP-XL,Set,SET348,XL,899.0,KR-NP,Premium
SET295-KR-NP-XXXL,Set,SET295,3XL,799.0,KR-NP,Premium
JNE3618-KR-L,kurta,JNE3618,L,399.0,KR,low
SET058-KR-NP-L,Set,SET058,L,847.0,KR-NP,Premium
